ID_Rota,Porto_Origem,Porto_Destino,Distancia,Tempo_Medio
49,Hong Kong,Shenzhen,14.793436916429627,0.04109288032341563
50,Hong Kong,Busan,1093.4996538130692,3.0374990383696368
51,Hong Kong,Qingdao,69.82691477746963,0.19396365215963784
52,Hong Kong,Guangzhou,886.7731576294933,2.4632587711930367
53,Hong Kong,Tianjin,1018.4882920437072,2.8291341445658538
54,Hong Kong,Roterdã,5035.826503932837,13.988406955368992
55,Qingdao,Xangai,654.368818750364,1.8176911631954555
56,Qingdao,Singapura,1418.588388543219,3.9405233015089416
57,Qingdao,Ningbo-Zhoushan,620.3736404429276,1.7232601123414655
58,Qingdao,Shenzhen,56.265133183746535,0.15629203662151817
59,Qingdao,Busan,1093.0537140453173,3.036260316792548
60,Qingdao,Hong Kong,69.82691477746963,0.19396365215963784
61,Qingdao,Guangzhou,860.4173288714504,2.390048135754029
62,Qingdao,Tianjin,978.8067659793014,2.7189076832758374
63,Qingdao,Roterdã,4967.055426070032,13.797376183527867
64,Guangzhou,Xangai,295.4668878004042,0.8207413550011228
65,Guangzhou,Singapura,2278.9985674072423,6.330551576131229
66,Guangzhou,Ningbo-Zhoushan,381.2618821877931,1.0590607838549808
67,Guangzhou,Shenzhen,876.3322742287266,2.4342563173020184
68,Guangzhou,Busan,426.05687670318883,1.1834913241755245
69,Guangzhou,Hong Kong,886.7731576294933,2.4632587711930367
70,Guangzhou,Qingdao,860.4173288714504,2.390048135754029
71,Guangzhou,Tianjin,236.05101650389543,0.6556972680663762
72,Guangzhou,Roterdã,4549.794926296331,12.63831923971203
73,Tianjin,Xangai,515.9153176303932,1.4330981045288702
74,Tianjin,Singapura,2381.373893763642,6.614927482676784
75,Tianjin,Ningbo-Zhoushan,602.4229105639168,1.673396973788658
76,Tianjin,Shenzhen,1006.083542459897,2.7946765068330475
77,Tianjin,Busan,614.2915055286269,1.7063652931350746
78,Tianjin,Hong Kong,1018.4882920437072,2.8291341445658538
79,Tianjin,Qingdao,978.8067659793014,2.7189076832758374
80,Tianjin,Guangzhou,236.05101650389543,0.6556972680663762
81,Tianjin,Roterdã,4314.3357379671315,11.984265938797586
82,Roterdã,Xangai,4820.253666341519,13.389593517615332
83,Roterdã,Singapura,5684.3385639452645,15.789829344292402
84,Roterdã,Ningbo-Zhoushan,4904.151571891102,13.622643255253061
85,Roterdã,Shenzhen,5021.3062072111725,13.948072797808813
86,Roterdã,Busan,4828.172987362134,13.411591631561485
87,Roterdã,Hong Kong,5035.826503932837,13.988406955368992
88,Roterdã,Qingdao,4967.055426070032,13.797376183527867
89,Roterdã,Guangzhou,4549.794926296331,12.63831923971203
90,Roterdã,Tianjin,4314.3357379671315,11.984265938797586
